Neighborhood,Link,Lat,Lon
Angelino Heights,"https://en.wikipedia.org/wiki/Angelino_Heights,_Los_Angeles",34.070288899999994,-118.25479650000001
Arleta,"https://en.wikipedia.org/wiki/Arleta,_Los_Angeles",34.2413266,-118.4322047
Arlington Heights,"https://en.wikipedia.org/wiki/Arlington_Heights,_Los_Angeles",34.128556599999996,-118.1529994
Arts District,"https://en.wikipedia.org/wiki/Arts_District,_Los_Angeles",34.041238899999996,-118.2344503
Atwater Village,"https://en.wikipedia.org/wiki/Atwater_Village,_Los_Angeles",34.1163979,-118.25646370000001
Baldwin Hills,"https://en.wikipedia.org/wiki/Baldwin_Hills,_Los_Angeles",34.007568400000004,-118.3505956
Baldwin Hills/Crenshaw,"https://en.wikipedia.org/wiki/Baldwin_Hills/Crenshaw,_Los_Angeles",34.0231764,-118.33424785873699
Baldwin Village,"https://en.wikipedia.org/wiki/Baldwin_Village,_Los_Angeles",34.0194565,-118.34590959999998
Beachwood Canyon,"https://en.wikipedia.org/wiki/Beachwood_Canyon,_Los_Angeles",34.1222919,-118.3213845
Bel Air,"https://en.wikipedia.org/wiki/Bel_Air,_Los_Angeles",34.0827278,-118.44798020000002
Benedict Canyon,"https://en.wikipedia.org/wiki/Benedict_Canyon,_Los_Angeles",34.0447702,-118.4000223
Beverly Glen,"https://en.wikipedia.org/wiki/Beverly_Glen,_Los_Angeles",34.1077855,-118.4456361
Beverly Grove,"https://en.wikipedia.org/wiki/Beverly_Grove,_Los_Angeles",-34.9375839,-54.91578539999999
Beverly Park,"https://en.wikipedia.org/wiki/Beverly_Park,_Los_Angeles",34.06376935,-118.264689598988
Beverlywood,"https://en.wikipedia.org/wiki/Beverlywood,_Los_Angeles",34.0466335,-118.39503799999999
Boyle Heights,"https://en.wikipedia.org/wiki/Boyle_Heights,_Los_Angeles",34.033165600000004,-118.20486480000001
Brentwood,"https://en.wikipedia.org/wiki/Brentwood,_Los_Angeles",34.0521403,-118.4740699
Brentwood Circle,"https://en.wikipedia.org/wiki/Brentwood_Circle,_Los_Angeles",34.0521403,-118.4740699
Brookside,"https://en.wikipedia.org/wiki/Brookside,_Los_Angeles",14.5875603,121.12473259999999
Bunker Hill,"https://en.wikipedia.org/wiki/Bunker_Hill,_Los_Angeles",34.055065899999995,-118.2512228
Canoga Park,"https://en.wikipedia.org/wiki/Canoga_Park,_Los_Angeles",34.2010776,-118.5978259
Canterbury Knolls,"https://en.wikipedia.org/wiki/Harvard_Park,_Los_Angeles",33.8427596,-118.12973131412599
Carthay,"https://en.wikipedia.org/wiki/Carthay,_Los_Angeles",34.056121399999995,-118.37341090000001
Castle Heights,"https://en.wikipedia.org/wiki/Castle_Heights,_Los_Angeles",32.534063,-96.85186
Central-Alameda,"https://en.wikipedia.org/wiki/Central-Alameda,_Los_Angeles",25.47649445,-108.095529502082
Century City,"https://en.wikipedia.org/wiki/Century_City,_Los_Angeles",34.057426299999996,-118.4147267
Chatsworth,"https://en.wikipedia.org/wiki/Chatsworth,_Los_Angeles",34.2595715,-118.6023247
Cheviot Hills,"https://en.wikipedia.org/wiki/Cheviot_Hills,_Los_Angeles",34.04555415,-118.40949350297701
Chinatown,"https://en.wikipedia.org/wiki/Chinatown,_Los_Angeles",34.0634589,-118.2360497
Civic Center,"https://en.wikipedia.org/wiki/Civic_Center,_Los_Angeles",34.0575607,-118.24680989487601
Crenshaw,"https://en.wikipedia.org/wiki/Crenshaw,_Los_Angeles",33.925212200000004,-118.32652949999999
Crestwood Hills,"https://en.wikipedia.org/wiki/Crestwood_Hills,_Los_Angeles",34.0766749,-118.48897020000001
Cypress Park,"https://en.wikipedia.org/wiki/Cypress_Park,_Los_Angeles",34.092232200000005,-118.2245179
Del Rey,"https://en.wikipedia.org/wiki/Del_Rey,_Los_Angeles",33.9852896,-118.4253554
Eagle Rock,"https://en.wikipedia.org/wiki/Eagle_Rock,_Los_Angeles",33.472373600000005,-118.6053477
East Hollywood,"https://en.wikipedia.org/wiki/East_Hollywood,_Los_Angeles",34.093214,-118.31961240000001
Echo Park,"https://en.wikipedia.org/wiki/Echo_Park,_Los_Angeles",34.074,-118.26087350000002
Edendale,"https://en.wikipedia.org/wiki/Edendale,_Los_Angeles",34.1075157,-118.2659493
El Sereno,"https://en.wikipedia.org/wiki/El_Sereno,_Los_Angeles",34.0811213,-118.17784950000001
Elysian Heights,"https://en.wikipedia.org/wiki/Elysian_Heights,_Los_Angeles",34.08289815,-118.234413440192
Elysian Park,"https://en.wikipedia.org/wiki/Elysian_Park,_Los_Angeles",34.0723579,-118.232846610007
Elysian Valley,"https://en.wikipedia.org/wiki/Elysian_Valley,_Los_Angeles",34.09924465,-118.244799127202
Encino,"https://en.wikipedia.org/wiki/Encino,_Los_Angeles",34.1591324,-118.50161659999999
Exposition Park,"https://en.wikipedia.org/wiki/Exposition_Park,_Los_Angeles",34.01365405,-118.28721058194598
Fairfax,"https://en.wikipedia.org/wiki/Fairfax_District,_Los_Angeles",34.0998856,-118.36157479999999
Fashion District,"https://en.wikipedia.org/wiki/Fashion_District,_Los_Angeles",34.036621999999994,-118.25906869999999
Financial District,"https://en.wikipedia.org/wiki/Financial_District,_Los_Angeles",34.050248100000005,-118.25577504198601
Florence,"https://en.wikipedia.org/wiki/Florence,_Los_Angeles",33.9752173,-118.2659106
Franklin Hills,"https://en.wikipedia.org/wiki/Franklin_Hills,_Los_Angeles",14.5875603,121.12473259999999
Gallery Row,"https://en.wikipedia.org/wiki/Gallery_Row,_Los_Angeles",34.04668705,-118.24948972158701
Garvanza,"https://en.wikipedia.org/wiki/Garvanza,_Los_Angeles",34.1195777,-118.18062645261801
Glassell Park,"https://en.wikipedia.org/wiki/Glassell_Park,_Los_Angeles",34.1161201,-118.22896270000001
Gramercy Park,"https://en.wikipedia.org/wiki/Gramercy_Park,_Los_Angeles",34.03393895,-118.31243162080901
Granada Hills,"https://en.wikipedia.org/wiki/Granada_Hills,_Los_Angeles",34.26615579999999,-118.5174342
Hancock Park,"https://en.wikipedia.org/wiki/Hancock_Park,_Los_Angeles",34.0677881,-118.33257649999999
Harbor City,"https://en.wikipedia.org/wiki/Harbor_City,_Los_Angeles",33.791349700000005,-118.29138
Harbor Gateway,"https://en.wikipedia.org/wiki/Harbor_Gateway,_Los_Angeles",33.869300700000004,-118.28744280000001
Harvard Heights,"https://en.wikipedia.org/wiki/Harvard_Heights,_Los_Angeles",34.0724171,-118.28820879999999
Hermon,"https://en.wikipedia.org/wiki/Hermon,_Los_Angeles",34.10731415,-118.18525103964701
Highland Park,"https://en.wikipedia.org/wiki/Highland_Park,_Los_Angeles",34.1099469,-118.1969828
Historic Core,"https://en.wikipedia.org/wiki/Historic_Core,_Los_Angeles",34.04596205,-118.25187366803999
Hollywood Hills West,"https://en.wikipedia.org/wiki/Hollywood_Hills_West,_Los_Angeles",34.1311792,-118.33554740000001
Hyde Park,"https://en.wikipedia.org/wiki/Hyde_Park,_Los_Angeles",33.9805691,-118.3306308
Jefferson Park,"https://en.wikipedia.org/wiki/Jefferson_Park,_Los_Angeles",34.0272344,-118.31757560000001
Koreatown,"https://en.wikipedia.org/wiki/Koreatown,_Los_Angeles",34.05801339999999,-118.3008095
Ladera,"https://en.wikipedia.org/wiki/Ladera,_Los_Angeles",33.994179200000005,-118.37535430000001
Lake Balboa,"https://en.wikipedia.org/wiki/Lake_Balboa,_Los_Angeles",34.1811656,-118.49523600143299
Lake View Terrace,"https://en.wikipedia.org/wiki/Lake_View_Terrace,_Los_Angeles",34.2763908,-118.36119120000001
Larchmont,"https://en.wikipedia.org/wiki/Larchmont,_Los_Angeles",34.0774179,-118.32365619999999
Laurel Canyon,"https://en.wikipedia.org/wiki/Laurel_Canyon,_Los_Angeles",34.168465399999995,-118.39629579999999
Leimert Park,"https://en.wikipedia.org/wiki/Leimert_Park,_Los_Angeles",34.007702,-118.33206270000001
Lincoln Heights,"https://en.wikipedia.org/wiki/Lincoln_Heights,_Los_Angeles",34.0705664,-118.2050727
Little Armenia,"https://en.wikipedia.org/wiki/Little_Armenia,_Los_Angeles",34.0981716,-118.30449660000001
Little Tokyo,"https://en.wikipedia.org/wiki/Little_Tokyo,_Los_Angeles",34.04821679999999,-118.24118143660101
Los Feliz,"https://en.wikipedia.org/wiki/Los_Feliz,_Los_Angeles",34.1100408,-118.288923640937
Manchester Square,"https://en.wikipedia.org/wiki/Manchester_Square,_Los_Angeles",33.9497984,-118.374002139485
Mandeville Canyon,"https://en.wikipedia.org/wiki/Mandeville_Canyon,_Los_Angeles",34.0610395,-118.49498009999999
Marina Peninsula,"https://en.wikipedia.org/wiki/Marina_Peninsula,_Los_Angeles",33.74871265,-118.122711495972
Mar Vista,"https://en.wikipedia.org/wiki/Mar_Vista,_Los_Angeles",34.0037605,-118.43916409999999
Melrose Hill,"https://en.wikipedia.org/wiki/Melrose_Hill,_Los_Angeles",-34.8234331,-56.17358539999999
Mission Hills,"https://en.wikipedia.org/wiki/Mission_Hills,_Los_Angeles",34.257224900000004,-118.4670285
Montecito Heights,"https://en.wikipedia.org/wiki/Montecito_Heights,_Los_Angeles",34.0970707,-118.202932146019
Monterey Hills,"https://en.wikipedia.org/wiki/Monterey_Hills,_Los_Angeles",34.1041758,-118.1642381
Mount Washington,"https://en.wikipedia.org/wiki/Mount_Washington,_Los_Angeles",34.0988396,-118.22110690000001
Nichols Canyon,"https://en.wikipedia.org/wiki/Nichols_Canyon,_Los_Angeles",34.10648465,-118.35966385080098
North Hills,"https://en.wikipedia.org/wiki/North_Hills,_Los_Angeles",34.2429575,-118.4854081
North Hollywood,"https://en.wikipedia.org/wiki/North_Hollywood,_Los_Angeles",34.1729044,-118.37403710000001
Northridge,"https://en.wikipedia.org/wiki/Northridge,_Los_Angeles",34.2345615,-118.53693159999999
Old Bank District,"https://en.wikipedia.org/wiki/Old_Bank_District,_Los_Angeles",14.623035699999999,121.04221869999999
Pacific Palisades,"https://en.wikipedia.org/wiki/Pacific_Palisades,_Los_Angeles",34.042413399999994,-118.54095509999999
Pacoima,"https://en.wikipedia.org/wiki/Pacoima,_Los_Angeles",34.262502500000004,-118.427027
Palms,"https://en.wikipedia.org/wiki/Palms,_Los_Angeles",34.0252995,-118.4087794
Panorama City,"https://en.wikipedia.org/wiki/Panorama_City,_Los_Angeles",34.2242902,-118.44537450000001
Park La Brea,"https://en.wikipedia.org/wiki/Park_La_Brea,_Los_Angeles",34.067401600000004,-118.35523629999999
Pico-Union,"https://en.wikipedia.org/wiki/Pico-Union,_Los_Angeles",34.0410725,-118.28444787407
Platinum Triangle,"https://en.wikipedia.org/wiki/Platinum_Triangle,_Los_Angeles",34.465661100000005,-118.56934070000001
Playa del Rey,"https://en.wikipedia.org/wiki/Playa_del_Rey,_Los_Angeles",33.9550828,-118.4367496
Playa Vista,"https://en.wikipedia.org/wiki/Playa_Vista,_Los_Angeles",33.9727898,-118.42757759999998
Porter Ranch,"https://en.wikipedia.org/wiki/Porter_Ranch,_Los_Angeles",34.2818164,-118.56127140000001
Rancho Park,"https://en.wikipedia.org/wiki/Rancho_Park,_Los_Angeles",34.14590675,-117.89042496794399
Reseda,"https://en.wikipedia.org/wiki/Reseda,_Los_Angeles",34.200078399999995,-118.53698840000001
Rose Hills,"https://en.wikipedia.org/wiki/Rose_Hills,_Los_Angeles",14.5875603,121.12473259999999
Rustic Canyon,"https://en.wikipedia.org/wiki/Rustic_Canyon,_Los_Angeles",34.077760299999994,-118.51892360000001
San Pedro,"https://en.wikipedia.org/wiki/San_Pedro,_Los_Angeles",33.7358518,-118.2922934
Sawtelle,"https://en.wikipedia.org/wiki/Sawtelle,_Los_Angeles",34.0361107,-118.45035630000001
Shadow Hills,"https://en.wikipedia.org/wiki/Shadow_Hills,_Los_Angeles",34.2619469,-118.3517463
Sherman Oaks,"https://en.wikipedia.org/wiki/Sherman_Oaks,_Los_Angeles",34.1508718,-118.4489865
Silver Lake,"https://en.wikipedia.org/wiki/Silver_Lake,_Los_Angeles",34.0896518,-118.26937350000001
Skid Row,"https://en.wikipedia.org/wiki/Skid_Row,_Los_Angeles",34.044057099999996,-118.2438507
Solano Canyon,"https://en.wikipedia.org/wiki/Solano_Canyon,_Los_Angeles",34.0818871,-118.23498300000001
South Park,"https://en.wikipedia.org/wiki/South_Park,_Los_Angeles",34.040406899999994,-118.26653770000001
Studio City,"https://en.wikipedia.org/wiki/Studio_City,_Los_Angeles",34.148398900000004,-118.39618770000001
Sunland,"https://en.wikipedia.org/wiki/Sunland-Tujunga,_Los_Angeles",34.266946600000004,-118.3023
Sunset Junction,"https://en.wikipedia.org/wiki/Sunset_Junction,_Los_Angeles",34.0926493,-118.28079540000002
Sun Valley,"https://en.wikipedia.org/wiki/Sun_Valley,_Los_Angeles",34.2175042,-118.37035759999999
Sylmar,"https://en.wikipedia.org/wiki/Sylmar,_Los_Angeles",34.307625200000004,-118.44921480000001
Tarzana,"https://en.wikipedia.org/wiki/Tarzana,_Los_Angeles",34.1715875,-118.54284140000001
Thai Town,"https://en.wikipedia.org/wiki/Thai_Town,_Los_Angeles",34.1018533,-118.3048616
Toluca Lake,"https://en.wikipedia.org/wiki/Toluca_Lake,_Los_Angeles",34.14678565,-118.34909242126001
Toy District,"https://en.wikipedia.org/wiki/Toy_District,_Los_Angeles",34.04705335,-118.245416321932
Tujunga,"https://en.wikipedia.org/wiki/Sunland-Tujunga,_Los_Angeles",34.252225,-118.2884105
University Hills,"https://en.wikipedia.org/wiki/El_Sereno,_Los_Angeles#Geography",34.0666487,-118.17744009999998
Valley Glen,"https://en.wikipedia.org/wiki/Valley_Glen,_Los_Angeles",34.182637899999996,-118.41386659999999
Valley Village,"https://en.wikipedia.org/wiki/Valley_Village,_Los_Angeles",34.16371470000001,-118.3965758
Van Nuys,"https://en.wikipedia.org/wiki/Van_Nuys,_Los_Angeles",34.1866581,-118.448729
Venice,"https://en.wikipedia.org/wiki/Venice,_Los_Angeles",33.995044,-118.4668875
Vermont-Slauson,"https://en.wikipedia.org/wiki/Vermont-Slauson,_Los_Angeles",33.988483200000005,-118.29135929999998
Vermont Square,"https://en.wikipedia.org/wiki/Vermont_Square,_Los_Angeles",34.00013975,-118.29589041007799
Victor Heights,"https://en.wikipedia.org/wiki/Echo_Park,_Los_Angeles#Victor_Heights",34.064497100000004,-118.25155659999999
Victoria Park,"https://en.wikipedia.org/wiki/Victoria_Park,_Los_Angeles",-11.275489,-67.38259959999999
Village Green,"https://en.wikipedia.org/wiki/Village_Green,_Los_Angeles",34.0198711,-118.3606643
Warehouse District,"https://en.wikipedia.org/wiki/Wholesale_District,_Los_Angeles",14.623035699999999,121.04221869999999
Warner Center,"https://en.wikipedia.org/wiki/Warner_Center,_Los_Angeles",34.1811457,-118.59744209999998
Watts,"https://en.wikipedia.org/wiki/Watts,_Los_Angeles",33.9405674,-118.24284850000001
West Adams,"https://en.wikipedia.org/wiki/West_Adams,_Los_Angeles",33.8485544,-118.0805347
Westchester,"https://en.wikipedia.org/wiki/Westchester,_Los_Angeles",33.9597349,-118.40063219999999
Westdale,"https://en.wikipedia.org/wiki/Westdale,_Los_Angeles",34.03038925,-118.432012462503
Western Heights,"https://en.wikipedia.org/wiki/West_Adams,_Los_Angeles#Western_Heights",32.534063,-96.85186
West Hills,"https://en.wikipedia.org/wiki/West_Hills,_Los_Angeles",34.2032325,-118.645476
Westlake,"https://en.wikipedia.org/wiki/Westlake,_Los_Angeles",34.05814425,-118.27789189801001
Westside Village,"https://en.wikipedia.org/wiki/Westside_Village,_Los_Angeles",33.840057,-118.38811899999999
Westwood,"https://en.wikipedia.org/wiki/Westwood,_Los_Angeles",34.066894700000006,-118.43994479999999
Westwood Village,"https://en.wikipedia.org/wiki/Westwood_Village,_Los_Angeles",34.0594537,-118.44424620000001
Whitley Heights,"https://en.wikipedia.org/wiki/Whitley_Heights,_Los_Angeles",34.107378600000004,-118.33362939999999
Wholesale District,"https://en.wikipedia.org/wiki/Wholesale_District,_Los_Angeles",34.0365749,-118.2354342
Wilmington,"https://en.wikipedia.org/wiki/Wilmington,_Los_Angeles",33.780018,-118.26257109999999
Wilshire Center,"https://en.wikipedia.org/wiki/Wilshire_Center,_Los_Angeles",34.06151465,-118.432771161966
Wilshire Park,"https://en.wikipedia.org/wiki/Wilshire_Park,_Los_Angeles",34.06151465,-118.432771161966
Windsor Square,"https://en.wikipedia.org/wiki/Windsor_Square,_Los_Angeles",34.072593100000006,-118.320810169735
Winnetka,"https://en.wikipedia.org/wiki/Winnetka,_Los_Angeles",34.2058826,-118.57093400000001
Woodland Hills,"https://en.wikipedia.org/wiki/Woodland_Hills,_Los_Angeles",34.1684364,-118.6058382
